Sample_ID,Food_Name,Category,Food_Type,Storage_Type,Quantity_kg,City,Donation_DateTime,Hour_of_Day,Day_of_Week,Shelf_Life_Hours,Hours_Since_Prepared,Remaining_Hours,Spoilage_Risk,Is_Spoiled,Prediction_Confidence
23,Oranges,fruits-vegetables,veg,frozen,34.9,Bangalore,2026-10-12 17:31,17,Monday,835.3,237.9,597.4,Low,0,Medium
24,Mixed Veg Curry,cooked-meals,non-veg,room-temperature,3.2,Jaipur,2026-09-02 13:54,13,Wednesday,2.7,0.6,2.1,Low,0,High
25,Pasta Alfredo,cooked-meals,non-veg,frozen,21.8,Lucknow,2026-07-26 09:56,9,Sunday,33.4,12.3,21.1,Low,0,High
26,Instant Noodles,packaged-food,non-veg,room-temperature,28.5,Kolkata,2026-05-14 10:45,10,Thursday,527.0,188.7,338.3,Low,0,Medium
27,Protein Shake,beverages,non-veg,refrigerated,18.7,Lucknow,2026-02-07 01:39,1,Saturday,391.8,585.4,0.0,High,1,Medium
28,Bagels,bakery,veg,refrigerated,35.8,Ahmedabad,2026-05-06 12:10,12,Wednesday,168.4,210.6,0.0,High,1,High
29,Papad Packets,packaged-food,veg,refrigerated,18.5,Bangalore,2026-12-06 09:56,9,Sunday,2557.3,1014.5,1542.8,Low,0,Medium
30,Lemon Soda,beverages,veg,refrigerated,7.1,Chandigarh,2026-04-18 18:13,18,Saturday,545.3,518.8,26.5,High,0,Medium
31,Mangoes,fruits-vegetables,veg,refrigerated,29.5,Bangalore,2026-01-23 00:49,0,Friday,256.3,244.9,11.4,High,0,Medium
32,Green Juice,beverages,non-veg,frozen,2.2,Indore,2026-02-08 21:44,21,Sunday,1336.8,298.9,1037.9,Low,0,Medium
33,Ghee,dairy,veg,refrigerated,5.3,Chandigarh,2026-01-21 20:13,20,Wednesday,19.5,7.3,12.2,Low,0,High
34,Flour Bag,packaged-food,veg,refrigerated,48.9,Bangalore,2026-04-01 20:01,20,Wednesday,2701.0,2984.2,0.0,High,1,Medium
35,Cucumber,fruits-vegetables,veg,frozen,6.5,Hyderabad,2026-01-20 20:14,20,Tuesday,928.4,1137.2,0.0,High,1,Medium
36,Lassi,dairy,veg,refrigerated,6.6,Chennai,2026-05-23 20:49,20,Saturday,22.0,11.6,10.4,Medium,0,High
37,Lemon Soda,beverages,non-veg,room-temperature,4.1,New Delhi,2026-05-14 10:16,10,Thursday,113.9,18.5,95.4,Low,0,Medium
38,Milkshake Bottles,beverages,non-veg,frozen,19.7,Hyderabad,2026-03-01 12:36,12,Sunday,1320.4,504.5,815.9,Low,0,Medium
39,Butter Chicken,cooked-meals,veg,room-temperature,23.8,Kochi,2026-06-19 16:42,16,Friday,4.1,0.8,3.3,Low,0,High
40,Granola Mix,packaged-food,non-veg,room-temperature,18.3,Pune,2026-03-07 10:42,10,Saturday,499.2,507.2,0.0,High,1,Medium
41,Poha Mix,packaged-food,non-veg,room-temperature,5.0,Lucknow,2026-05-27 10:50,10,Wednesday,473.5,430.9,42.6,High,0,Medium
42,Grapes,fruits-vegetables,veg,frozen,8.4,Chandigarh,2026-02-13 11:42,11,Friday,863.3,801.9,61.4,High,0,Medium
43,Brownies,bakery,veg,room-temperature,5.9,Kochi,2026-05-06 23:39,23,Wednesday,44.4,51.2,0.0,High,1,High
44,Kombucha,beverages,veg,frozen,14.5,Chandigarh,2026-09-11 12:09,12,Friday,2148.0,2215.5,0.0,High,1,Medium
45,Khichdi,cooked-meals,veg,frozen,13.9,Kochi,2026-01-26 14:58,14,Monday,46.1,8.4,37.7,Low,0,High
46,Papaya,fruits-vegetables,non-veg,refrigerated,22.6,Jaipur,2026-09-16 13:58,13,Wednesday,181.0,121.1,59.9,Medium,0,Medium
47,Grapes,fruits-vegetables,veg,frozen,11.9,Chennai,2026-09-24 13:15,13,Thursday,838.0,552.9,285.1,Medium,0,Medium
48,Fruit Cake,bakery,veg,frozen,7.8,Bangalore,2026-03-19 10:44,10,Thursday,577.8,612.3,0.0,High,1,High
49,Mixed Salad,fruits-vegetables,veg,room-temperature,29.7,Noida,2026-07-19 20:37,20,Sunday,72.5,2.1,70.4,Low,0,Medium
50,Rice Packets,packaged-food,non-veg,frozen,18.4,Pune,2026-07-19 19:53,19,Sunday,5743.0,4636.5,1106.5,High,0,Medium
51,Jam Bottle,packaged-food,non-veg,room-temperature,26.9,Gurgaon,2026-07-19 11:43,11,Sunday,541.9,328.6,213.3,Medium,0,Medium
52,Onions,fruits-vegetables,non-veg,frozen,21.1,Bangalore,2026-01-14 08:27,8,Wednesday,631.4,821.0,0.0,High,1,Medium
53,Ice Cream Tub,dairy,veg,refrigerated,5.7,Pune,2026-07-14 11:53,11,Tuesday,22.5,8.5,14.0,Low,0,High
54,Palak Paneer,cooked-meals,non-veg,refrigerated,7.2,New Delhi,2026-02-05 19:41,19,Thursday,10.4,11.8,0.0,High,1,High
55,White Bread,bakery,veg,refrigerated,28.4,Noida,2026-10-16 21:29,21,Friday,170.6,65.6,105.0,Low,0,High
56,Upma Mix,packaged-food,veg,frozen,9.9,Chandigarh,2026-01-14 21:36,21,Wednesday,9223.2,12562.4,0.0,High,1,Medium
57,Mango Lassi,beverages,veg,frozen,14.4,Gurgaon,2026-11-18 11:44,11,Wednesday,1883.3,852.0,1031.3,Medium,0,Medium
58,Mixed Veg Curry,cooked-meals,veg,refrigerated,17.2,New Delhi,2026-02-05 13:21,13,Thursday,13.3,16.9,0.0,High,1,High
59,Khichdi,cooked-meals,non-veg,refrigerated,18.3,Chandigarh,2026-08-11 10:33,10,Tuesday,9.1,3.7,5.4,Medium,0,High
60,Namkeen Mix,packaged-food,non-veg,refrigerated,31.7,Indore,2026-06-15 19:53,19,Monday,1714.7,222.9,1491.8,Low,0,Medium
61,Banana Bread,bakery,veg,refrigerated,34.8,Gurgaon,2026-04-04 13:22,13,Saturday,165.0,63.9,101.1,Low,0,High
62,Dried Fruits Pack,packaged-food,veg,frozen,8.9,Hyderabad,2026-07-28 13:48,13,Tuesday,8323.9,8622.8,0.0,High,1,Medium
63,Grapes,fruits-vegetables,veg,room-temperature,15.9,Kolkata,2026-05-05 11:37,11,Tuesday,75.8,53.8,22.0,High,0,Medium
64,Sweet Corn,fruits-vegetables,veg,refrigerated,11.7,Hyderabad,2026-05-09 10:46,10,Saturday,246.2,116.5,129.7,Medium,0,Medium
65,Smoothies,beverages,veg,room-temperature,15.3,Jaipur,2026-05-22 18:48,18,Friday,162.1,145.1,17.0,High,0,Medium
66,Brownies,bakery,veg,refrigerated,5.5,New Delhi,2026-10-01 09:02,9,Thursday,169.1,140.4,28.7,High,0,High
67,Dinner Rolls,bakery,veg,frozen,15.0,New Delhi,2026-09-03 13:11,13,Thursday,542.9,205.6,337.3,Low,0,High
68,Paneer Butter Masala,cooked-meals,veg,frozen,16.5,Lucknow,2026-01-28 09:51,9,Wednesday,50.3,71.6,0.0,High,1,High
69,Muffins,bakery,veg,frozen,12.9,Ahmedabad,2026-09-25 12:58,12,Friday,536.8,239.4,297.4,Medium,0,High
70,Oranges,fruits-vegetables,veg,frozen,6.2,Chandigarh,2026-04-17 16:16,16,Friday,931.3,113.4,817.9,Low,0,Medium
71,Instant Noodles,packaged-food,veg,room-temperature,36.0,Chennai,2026-08-29 11:14,11,Saturday,751.4,796.8,0.0,High,1,Medium
72,Tomatoes,fruits-vegetables,non-veg,frozen,21.9,Hyderabad,2026-04-12 12:34,12,Sunday,575.6,559.2,16.4,High,0,Medium
73,Croissants,bakery,veg,refrigerated,25.8,Mumbai,2026-10-19 21:28,21,Monday,154.7,108.8,45.9,High,0,High
74,Mangoes,fruits-vegetables,veg,frozen,4.3,Chennai,2026-08-10 18:38,18,Monday,907.6,35.2,872.4,Low,0,Medium
75,Kombucha,beverages,veg,frozen,16.8,Bangalore,2026-10-23 07:48,7,Friday,2082.7,1469.9,612.8,High,0,Medium
76,Cream,dairy,veg,frozen,14.6,Kolkata,2026-08-29 12:21,12,Saturday,74.6,75.0,0.0,High,1,High
77,Kheer,dairy,veg,refrigerated,6.6,Kolkata,2026-10-09 06:05,6,Friday,21.9,8.3,13.6,Low,0,High
78,Papaya,fruits-vegetables,veg,frozen,17.8,Lucknow,2026-01-28 10:23,10,Wednesday,805.1,913.5,0.0,High,1,Medium
79,Fried Rice,cooked-meals,veg,refrigerated,12.1,Chandigarh,2026-12-24 13:01,13,Thursday,13.7,12.5,1.2,High,0,High
80,Brownies,bakery,veg,room-temperature,12.9,Chandigarh,2026-02-28 13:07,13,Saturday,45.0,56.2,0.0,High,1,High
81,Protein Shake,beverages,non-veg,refrigerated,17.0,Bangalore,2026-08-30 11:35,11,Sunday,435.5,250.6,184.9,Medium,0,Medium
82,Protein Bars,packaged-food,veg,refrigerated,43.4,Chennai,2026-06-24 21:32,21,Wednesday,2569.7,3162.8,0.0,High,1,Medium
83,Ghee,dairy,veg,refrigerated,7.8,Pune,2026-06-20 14:34,14,Saturday,20.4,13.9,6.5,Medium,0,High
84,Buns,bakery,veg,refrigerated,6.5,Pune,2026-08-31 17:51,17,Monday,156.3,90.5,65.8,Medium,0,High
85,Iced Tea,beverages,non-veg,room-temperature,4.3,Kochi,2026-10-30 11:06,11,Friday,114.0,144.5,0.0,High,1,Medium
86,Bananas,fruits-vegetables,veg,frozen,34.0,Kolkata,2026-02-08 13:16,13,Sunday,839.8,785.1,54.7,High,0,Medium
87,Egg Curry,cooked-meals,non-veg,frozen,18.5,Lucknow,2026-09-07 20:02,20,Monday,34.8,3.6,31.2,Low,0,High
88,Lassi,dairy,veg,frozen,11.6,Bangalore,2026-12-27 20:28,20,Sunday,73.6,76.6,0.0,High,1,High
89,Egg Curry,cooked-meals,veg,refrigerated,11.9,Chandigarh,2026-05-06 14:36,14,Wednesday,14.9,17.7,0.0,High,1,High
90,Aloo Gobi,cooked-meals,non-veg,room-temperature,13.4,Chandigarh,2026-10-26 09:29,9,Monday,2.8,1.1,1.7,Low,0,High
91,Kadhi Pakora,cooked-meals,non-veg,room-temperature,3.7,Chandigarh,2026-06-26 23:19,23,Friday,2.6,3.8,0.0,High,1,High
92,Oranges,fruits-vegetables,non-veg,refrigerated,6.4,Chennai,2026-07-15 15:36,15,Wednesday,182.4,271.6,0.0,High,1,Medium
93,Buttermilk Packs,beverages,non-veg,room-temperature,12.2,Indore,2026-12-18 19:03,19,Friday,122.5,111.4,11.1,High,0,Medium
94,Lassi,dairy,veg,refrigerated,9.7,Chandigarh,2026-12-14 18:49,18,Monday,21.2,21.7,0.0,High,1,High
95,Vegetable Biryani,cooked-meals,non-veg,room-temperature,15.3,Kolkata,2026-03-09 08:18,8,Monday,2.9,3.3,0.0,High,1,High
96,Scones,bakery,veg,refrigerated,34.1,Gurgaon,2026-05-12 20:30,20,Tuesday,167.8,74.3,93.5,Medium,0,High
97,Kadhi Pakora,cooked-meals,veg,room-temperature,21.8,Gurgaon,2026-12-12 22:54,22,Saturday,4.0,3.3,0.7,High,0,High
98,Bananas,fruits-vegetables,veg,refrigerated,14.8,Kochi,2026-12-11 11:24,11,Friday,249.1,238.6,10.5,High,0,Medium
99,Sugarcane Juice,beverages,non-veg,room-temperature,13.2,Hyderabad,2026-10-15 11:39,11,Thursday,108.7,105.6,3.1,High,0,Medium
100,Oranges,fruits-vegetables,veg,room-temperature,33.3,Mumbai,2026-06-05 23:07,23,Friday,67.5,23.8,43.7,Low,0,Medium
101,Grapes,fruits-vegetables,veg,frozen,25.3,Noida,2026-10-04 12:47,12,Sunday,799.2,185.2,614.0,Low,0,Medium
102,Mutton Rogan Josh,cooked-meals,non-veg,refrigerated,2.8,Hyderabad,2026-07-09 10:28,10,Thursday,10.0,12.8,0.0,High,1,High
103,Sparkling Water,beverages,non-veg,room-temperature,9.2,Kochi,2026-04-08 22:54,22,Wednesday,114.1,77.8,36.3,Medium,0,Medium
104,Energy Drinks,beverages,veg,room-temperature,16.2,Lucknow,2026-05-05 23:50,23,Tuesday,168.2,51.8,116.4,Low,0,Medium
105,Peanut Butter Jar,packaged-food,veg,room-temperature,11.6,Bangalore,2026-11-02 00:54,0,Monday,767.0,1136.2,0.0,High,1,Medium
106,Muffins,bakery,veg,refrigerated,32.6,Bangalore,2026-05-02 15:01,15,Saturday,161.3,64.2,97.1,Low,0,High
107,Papaya,fruits-vegetables,veg,refrigerated,17.3,Ahmedabad,2026-07-05 14:06,14,Sunday,248.4,187.7,60.7,High,0,Medium
108,Butter Chicken,cooked-meals,veg,room-temperature,3.4,Chandigarh,2026-09-03 19:27,19,Thursday,4.2,0.7,3.5,Low,0,High
109,Tomatoes,fruits-vegetables,veg,room-temperature,5.1,Jaipur,2026-05-21 16:37,16,Thursday,68.9,73.6,0.0,High,1,Medium
110,Papad Packets,packaged-food,non-veg,room-temperature,24.4,Chandigarh,2026-12-26 09:41,9,Saturday,469.9,618.7,0.0,High,1,Medium
111,Garlic Bread,bakery,veg,refrigerated,16.9,Mumbai,2026-08-21 12:46,12,Friday,162.3,76.1,86.2,Medium,0,High
112,Milkshake,dairy,veg,frozen,1.9,Noida,2026-02-13 08:06,8,Friday,68.1,75.5,0.0,High,1,High
113,Chips / Crisps,packaged-food,non-veg,room-temperature,20.9,Kochi,2026-12-07 21:27,21,Monday,538.7,740.0,0.0,High,1,Medium
114,Condensed Milk,dairy,veg,refrigerated,8.1,Kochi,2026-03-21 16:14,16,Saturday,22.0,3.6,18.4,Low,0,High
115,Cheese Slices,dairy,veg,refrigerated,7.0,Lucknow,2026-10-15 22:52,22,Thursday,21.4,19.7,1.7,High,0,High
116,Aloo Gobi,cooked-meals,veg,refrigerated,18.2,New Delhi,2026-06-08 21:22,21,Monday,14.8,4.0,10.8,Low,0,High
117,Buttermilk Packs,beverages,veg,room-temperature,15.3,Hyderabad,2026-01-16 08:33,8,Friday,176.2,99.4,76.8,Medium,0,Medium
118,Sandwich Bread,bakery,veg,frozen,25.9,Lucknow,2026-01-27 09:48,9,Tuesday,547.1,40.8,506.3,Low,0,High
119,Cabbage,fruits-vegetables,veg,refrigerated,11.7,Mumbai,2026-09-20 09:27,9,Sunday,267.8,113.8,154.0,Medium,0,Medium
120,Papaya,fruits-vegetables,veg,refrigerated,34.5,Hyderabad,2026-01-29 00:19,0,Thursday,253.6,291.9,0.0,High,1,Medium
121,Whey Protein Shake,dairy,veg,refrigerated,7.0,Hyderabad,2026-03-08 12:45,12,Sunday,22.0,16.5,5.5,High,0,High
122,Paneer,dairy,veg,room-temperature,1.3,Pune,2026-02-09 20:36,20,Monday,6.4,5.5,0.9,High,0,High
123,Oranges,fruits-vegetables,veg,refrigerated,8.5,Indore,2026-11-13 13:44,13,Friday,244.7,132.8,111.9,Medium,0,Medium
124,Sambar Rice,cooked-meals,non-veg,frozen,3.8,Kolkata,2026-06-08 18:14,18,Monday,31.5,36.8,0.0,High,1,High
125,Coconut Water,beverages,veg,refrigerated,8.3,Mumbai,2026-11-27 19:15,19,Friday,562.4,123.5,438.9,Low,0,Medium
126,Protein Bars,packaged-food,veg,frozen,33.3,Lucknow,2026-08-26 18:48,18,Wednesday,8539.2,5749.9,2789.3,Medium,0,Medium
127,Upma Mix,packaged-food,non-veg,room-temperature,24.8,Gurgaon,2026-08-29 13:19,13,Saturday,529.6,218.2,311.4,Medium,0,Medium
128,Instant Noodles,packaged-food,non-veg,room-temperature,7.6,Kochi,2026-05-27 08:55,8,Wednesday,533.1,72.2,460.9,Low,0,Medium
129,Grapes,fruits-vegetables,veg,frozen,23.9,Bangalore,2026-06-14 15:32,15,Sunday,795.8,1143.2,0.0,High,1,Medium
130,Paneer,dairy,veg,refrigerated,7.1,Bangalore,2026-08-13 14:39,14,Thursday,21.0,11.5,9.5,Medium,0,High
131,Cabbage,fruits-vegetables,veg,room-temperature,28.3,Mumbai,2026-11-28 11:21,11,Saturday,71.0,59.4,11.6,High,0,Medium
132,Condensed Milk,dairy,veg,room-temperature,10.3,Noida,2026-06-29 11:41,11,Monday,5.7,5.7,0.0,High,1,High
133,Lemonade,beverages,non-veg,frozen,8.8,Noida,2026-06-18 19:42,19,Thursday,1325.4,1648.1,0.0,High,1,Medium
134,Watermelon Juice,beverages,veg,frozen,14.1,Chennai,2026-09-18 12:23,12,Friday,1963.6,530.9,1432.7,Low,0,Medium
135,Carrots,fruits-vegetables,non-veg,room-temperature,5.5,Kochi,2026-02-21 14:34,14,Saturday,54.0,59.8,0.0,High,1,Medium
136,Milkshake Bottles,beverages,veg,frozen,8.8,Gurgaon,2026-03-25 10:44,10,Wednesday,1959.0,1835.8,123.2,High,0,Medium
137,Green Juice,beverages,veg,refrigerated,8.6,Chennai,2026-05-02 22:39,22,Saturday,589.8,665.6,0.0,High,1,Medium
138,Scones,bakery,veg,refrigerated,36.6,Ahmedabad,2026-04-10 12:36,12,Friday,173.5,120.2,53.3,Medium,0,High
139,Papaya,fruits-vegetables,non-veg,room-temperature,28.6,Chandigarh,2026-03-12 20:03,20,Thursday,49.3,35.5,13.8,High,0,Medium
140,Butter Chicken,cooked-meals,veg,room-temperature,8.3,Mumbai,2026-09-20 09:27,9,Sunday,4.3,6.1,0.0,High,1,High
141,Bell Peppers,fruits-vegetables,veg,refrigerated,19.1,Kolkata,2026-05-01 12:05,12,Friday,270.6,91.1,179.5,Low,0,Medium
142,Egg Curry,cooked-meals,veg,refrigerated,23.1,Gurgaon,2026-08-30 17:08,17,Sunday,13.4,14.2,0.0,High,1,High
143,Paneer Butter Masala,cooked-meals,veg,room-temperature,14.6,Gurgaon,2026-11-08 14:07,14,Sunday,4.0,1.7,2.3,Medium,0,High
144,Sambar Rice,cooked-meals,non-veg,frozen,12.5,Lucknow,2026-02-26 19:31,19,Thursday,32.5,26.1,6.4,High,0,High
145,Jam Bottle,packaged-food,veg,room-temperature,32.7,Chandigarh,2026-05-04 14:11,14,Monday,695.2,696.8,0.0,High,1,Medium
146,Paneer,dairy,veg,frozen,1.6,Noida,2026-07-18 22:16,22,Saturday,66.7,1.6,65.1,Low,0,High
147,Lassi,dairy,veg,refrigerated,5.7,Kochi,2026-01-23 12:21,12,Friday,21.4,20.6,0.8,High,0,High
148,Green Juice,beverages,non-veg,frozen,5.3,Ahmedabad,2026-03-11 08:49,8,Wednesday,1411.8,78.3,1333.5,Low,0,Medium
149,Whole Wheat Bread,bakery,non-veg,frozen,18.9,Gurgaon,2026-10-06 13:02,13,Tuesday,374.3,363.2,11.1,High,0,High
150,Egg Curry,cooked-meals,veg,refrigerated,12.0,Pune,2026-07-24 18:57,18,Friday,13.5,6.9,6.6,Medium,0,High
151,Orange Juice,beverages,non-veg,frozen,6.8,Pune,2026-02-12 18:05,18,Thursday,1503.4,1358.6,144.8,High,0,Medium
152,Granola Mix,packaged-food,non-veg,room-temperature,34.7,Pune,2026-06-06 13:45,13,Saturday,483.0,120.7,362.3,Low,0,Medium
153,Apples,fruits-vegetables,veg,refrigerated,11.8,Pune,2026-01-30 08:40,8,Friday,237.7,129.5,108.2,Medium,0,Medium
154,Smoothies,beverages,veg,room-temperature,17.3,Bangalore,2026-12-14 19:02,19,Monday,167.7,16.9,150.8,Low,0,Medium
155,Milkshake,dairy,veg,room-temperature,3.1,Ahmedabad,2026-08-19 21:23,21,Wednesday,6.5,7.4,0.0,High,1,High
156,Soup Packets,packaged-food,non-veg,room-temperature,16.2,Ahmedabad,2026-02-28 06:11,6,Saturday,483.2,375.3,107.9,High,0,Medium
157,Chole Bhature,cooked-meals,non-veg,room-temperature,24.9,Hyderabad,2026-05-27 17:31,17,Wednesday,2.9,0.5,2.4,Low,0,High
158,Spinach,fruits-vegetables,non-veg,frozen,34.0,Mumbai,2026-06-13 17:45,17,Saturday,630.1,519.8,110.3,High,0,Medium
159,Cream,dairy,veg,refrigerated,2.7,Gurgaon,2026-04-13 19:15,19,Monday,20.1,14.9,5.2,High,0,High
160,Soup Packets,packaged-food,non-veg,room-temperature,44.8,Noida,2026-02-03 11:45,11,Tuesday,522.4,375.1,147.3,High,0,Medium
161,Broccoli,fruits-vegetables,veg,refrigerated,23.6,Kolkata,2026-08-19 13:33,13,Wednesday,246.7,47.5,199.2,Low,0,Medium
162,Poha Mix,packaged-food,veg,room-temperature,46.0,Bangalore,2026-01-29 19:33,19,Thursday,735.2,335.4,399.8,Medium,0,Medium
163,Sugarcane Juice,beverages,non-veg,frozen,18.1,Jaipur,2026-02-10 11:40,11,Tuesday,1441.3,593.3,848.0,Medium,0,Medium
164,Pickle Jar,packaged-food,veg,room-temperature,31.6,Lucknow,2026-10-25 09:42,9,Sunday,724.1,782.7,0.0,High,1,Medium
165,Chips / Crisps,packaged-food,veg,room-temperature,33.9,Gurgaon,2026-10-23 11:13,11,Friday,672.8,577.4,95.4,High,0,Medium
166,Mutton Rogan Josh,cooked-meals,non-veg,refrigerated,13.1,Mumbai,2026-12-17 12:29,12,Thursday,10.3,10.6,0.0,High,1,High
167,Watermelon Slices,fruits-vegetables,veg,frozen,7.6,Kolkata,2026-06-13 18:55,18,Saturday,839.2,1227.8,0.0,High,1,Medium
168,Mishti Doi,dairy,veg,refrigerated,2.7,New Delhi,2026-08-19 11:06,11,Wednesday,19.9,8.7,11.2,Medium,0,High
169,Flour Bag,packaged-food,veg,refrigerated,47.0,Ahmedabad,2026-06-10 10:10,10,Wednesday,2334.8,3488.1,0.0,High,1,Medium
170,Shrikhand,dairy,veg,frozen,8.1,New Delhi,2026-05-04 10:22,10,Monday,73.0,5.5,67.5,Low,0,High
171,Orange Juice,beverages,non-veg,frozen,2.1,Chennai,2026-02-25 13:56,13,Wednesday,1451.3,1583.7,0.0,High,1,Medium
172,Curd / Yogurt,dairy,veg,refrigerated,3.7,Jaipur,2026-10-11 11:24,11,Sunday,19.4,13.1,6.3,Medium,0,High
173,Upma Mix,packaged-food,veg,frozen,22.7,Gurgaon,2026-06-23 14:23,14,Tuesday,8656.7,1873.3,6783.4,Low,0,Medium
174,Papaya,fruits-vegetables,veg,room-temperature,25.8,Lucknow,2026-08-31 14:09,14,Monday,68.8,92.2,0.0,High,1,Medium
175,Ready-to-Eat Meals,packaged-food,veg,frozen,38.3,Kochi,2026-06-03 15:32,15,Wednesday,8840.7,6759.3,2081.4,High,0,Medium
176,Granola Mix,packaged-food,non-veg,room-temperature,35.3,Indore,2026-08-02 15:50,15,Sunday,477.7,519.7,0.0,High,1,Medium
177,Aloo Gobi,cooked-meals,veg,frozen,20.0,New Delhi,2026-10-24 15:46,15,Saturday,49.5,43.3,6.2,High,0,High
178,Energy Drinks,beverages,non-veg,room-temperature,16.8,Mumbai,2026-05-05 06:44,6,Tuesday,115.5,33.1,82.4,Low,0,Medium
179,Onions,fruits-vegetables,veg,refrigerated,19.1,Kochi,2026-11-10 21:55,21,Tuesday,269.6,297.6,0.0,High,1,Medium
180,Bagels,bakery,veg,frozen,21.7,Ahmedabad,2026-07-12 11:11,11,Sunday,542.6,742.4,0.0,High,1,High
181,Flavoured Yogurt,dairy,veg,frozen,4.9,Gurgaon,2026-06-02 10:19,10,Tuesday,70.2,30.4,39.8,Medium,0,High
182,Orange Juice,beverages,non-veg,refrigerated,8.3,Chandigarh,2026-05-21 11:36,11,Thursday,386.1,314.6,71.5,High,0,Medium
183,Bell Peppers,fruits-vegetables,veg,refrigerated,33.6,Chandigarh,2026-02-10 12:28,12,Tuesday,269.1,103.5,165.6,Low,0,Medium
184,Scones,bakery,non-veg,frozen,14.5,Hyderabad,2026-02-25 15:37,15,Wednesday,427.5,155.5,272.0,Low,0,High
185,Jam Bottle,packaged-food,veg,room-temperature,19.9,Bangalore,2026-08-30 08:49,8,Sunday,692.1,5.4,686.7,Low,0,Medium
186,Garlic Bread,bakery,veg,room-temperature,31.5,New Delhi,2026-05-28 11:41,11,Thursday,49.2,67.0,0.0,High,1,High
187,Jam Bottle,packaged-food,veg,room-temperature,42.7,Gurgaon,2026-01-19 23:25,23,Monday,756.5,562.1,194.4,High,0,Medium
188,Curd / Yogurt,dairy,veg,refrigerated,2.5,Jaipur,2026-06-21 11:41,11,Sunday,21.2,16.7,4.5,High,0,High
189,Bagels,bakery,veg,room-temperature,16.6,Bangalore,2026-08-23 16:45,16,Sunday,48.2,1.0,47.2,Low,0,High
190,Ghee,dairy,veg,refrigerated,9.9,Kolkata,2026-07-27 19:32,19,Monday,20.1,2.6,17.5,Low,0,High
191,Cupcakes,bakery,veg,room-temperature,5.2,Chennai,2026-07-16 10:48,10,Thursday,44.9,64.3,0.0,High,1,High
